Entry	Positiv	Negativ	Pstv	Affil	Ngtv	Hostile	Strong	Power	Weak	Active	Passive	Virtue	Vice	Ovrst	ECON	POLIT	Role	SocRel	HU	Object	ComForm	IAV	DAV	IndAdj	PowTot	EnlOth	EnlTot
battle		X			X	X	X			X						X		X					X		X		
battlefield		X				X												X							X		
battleship																									X		
beacon	X											X														X	X
beam																					X	X					
bean																				X							
bear							X	X		X										X		X	X			X	X
bearer																	X		X								
beastly		X				X							X											X			
beat		X			X	X	X	X	X	X	X		X									X			X		
beauteous	X																							X			
beautify	X						X			X												X					
beauty	X		X									X															
became											X											X					
beckon				X						X											X	X					
become											X											X					
bed																				X		X					
bedroom																				X							
beef																				X							
been											X																
beep																					X						
beer																				X							
befit	X										X											X					
befitting	X										X													X			
befriend	X			X						X								X				X					
beg		X			X				X	X								X				X					
began										X												X					
beggar		X							X										X								
begin										X												X					
beginner																	X		X								
begun										X												X					
behalf	X		X	X								X															
behave										X								X				X					
behavior										X								X									
behead		X				X																					
being											X						X		X								
belated		X																						X			
belie		X				X				X								X				X					
belief											X															X	X
believe											X							X				X				X	X
believer											X						X		X								
belittle		X			X	X												X				X					
belligerent		X				X																		X	X		
belong									X		X							X		X		X					
beloved	X		X	X																							
belt		X			X	X	X			X								X		X		X					
bend									X		X												X				
benefactor	X											X					X		X								
beneficent	X											X															
beneficial	X		X									X															
beneficiary	X																X		X								
benefit	X		X	X			X	X							X			X			X	X					
benevolence	X											X															
benevolent	X											X															
benign	X		X	X				X			X	X															
bent									X		X																
bequeath	X									X													X				
bereave		X				X															X						
bereavement		X							X		X		X														
bereft		X							X								X		X								
berlin															X	X									X		
berserk		X				X																		X			
beseech		X							X	X								X				X					
beset		X																						X			
beside													X														
besiege		X				X				X								X				X					
best	X		X									X															
bestow	X		X				X	X		X								X				X					
bet										X					X						X	X					
betray		X			X	X												X				X					
betrayal		X				X												X			X						
betroth	X									X												X					
betrothal	X																										
better	X		X							X		X										X					
beware		X			X	X	X															X					
bewilder		X			X																	X					X
bewilderment		X			X																						X
bible																				X							
biblical																				X							
bicep								X																			
bid										X					X	X					X	X			X		
big							X																				
bill															X	X				X					X		
billion														X	X												
bin																				X							
biography																					X						
birth																							X				
bishop								X									X		X								
bit		X			X	X			X	X								X				X					
bitchy		X				X												X						X			
bite		X			X	X				X								X				X					
bitter		X			X	X					X																
bitterness		X			X						X																
bizarre		X											X											X			
black																X	X		X			X			X		
blackmail		X						X		X								X				X					
blade																				X							
blah		X																									
blame		X			X	X							X					X				X					
blameless	X											X												X			
bland		X							X															X			
blanket																				X							
blast		X			X		X			X												X			X		
blatant		X					X							X										X			
bleak		X			X								X														
bleed									X		X												X				
blemish		X							X				X														
bless	X		X	X							X	X						X			X	X					
blind		X			X	X	X		X				X				X	X	X	X		X				X	X
blindness		X							X				X											X			
blink											X												X				
bliss	X																										
blissful	X																							X			
blithe	X																							X			
bloc							X									X			X						X		
block		X			X	X	X			X	X												X		X		
blockade							X																		X		
blockhead		X							X				X											X			
bloodshed		X				X			X																		
bloodthirsty		X				X	X	X																			
bloody		X			X																						
bloom	X									X												X					
blossom	X									X												X					
blow		X			X	X	X			X												X			X		
blower																				X							
blue															X				X		X				X		
blunder		X			X				X	X																	
blunt		X			X		X																				
blur		X							X	X											X	X					
blurt		X				X				X				X							X	X					
board	X	X	X		X			X				X	X	X	X	X			X	X	X	X			X	X	X
boarder																	X		X								
boast		X						X		X			X								X	X					
boastful		X						X					X								X			X			
boat																				X							
boatswain																	X		X								
body							X	X								X			X						X		
bogus		X											X											X			
boil										X													X				
boisterous		X					X														X			X			
bold							X			X		X															
boldness	X						X	X				X															
bolster	X			X			X			X												X					
bolt		X								X								X				X					
bomb		X			X	X	X			X						X		X		X			X		X		
bombard		X				X				X												X					
bombardment		X				X																					
bond				X			X								X						X						
bondage		X			X				X		X		X												X		
bonny	X											X												X			
bonus	X		X												X						X						
book																				X						X	X
boom	X						X																				
boost	X		X				X			X												X					
boot		X		X				X		X												X					
border																X						X					
bore		X			X		X			X	X		X							X		X	X				
boredom		X											X														
born											X																
borrow									X													X					
boss							X	X		X					X		X		X						X		
boston															X	X											
bother		X			X	X				X			X					X				X					
bothersome		X			X								X														
bottle																				X							
bought										X													X				
boulder																				X							
bounce										X													X				
bound		X			X		X		X		X		X									X					
boundary																X											
boundless	X						X																	X			
bountiful	X						X																	X			
bourgeois																									X		
bourgeoisie																									X		
bout		X			X	X				X															X		
bow									X		X		X							X	X		X		X		
bowl																				X		X					
box		X			X	X	X			X					X			X		X		X	X		X		
boxer							X			X							X		X								
boy																	X		X								
boycott						X				X					X						X	X			X		
brace							X													X		X					
brag		X						X		X											X	X					
brain																										X	X
brainy	X																							X			
brake																				X							
branch										X												X					
brand						X									X						X	X					
brandish		X			X	X	X			X												X			X		
brandy																				X							
brass																				X							
brat		X											X											X			
bravado		X					X	X																			
brave	X		X				X	X				X															
bravery	X						X	X				X															
brawl		X				X				X								X				X					
brazen		X					X	X																X			
breach		X			X	X	X			X								X				X					
bread																				X							
breadwinner	X																X		X								
break		X			X	X	X		X	X	X							X			X	X	X		X		X
breakdown		X							X		X											X			X		
breakfast																				X							
breath																							X				
breed										X													X				
bribe		X											X									X					
bride				X													X		X								
bridge							X															X					
bright	X		X																								
brightness	X		X																								
brilliance	X		X																								
brilliant	X		X											X													
bring				X				X		X								X			X	X	X		X		X
bristle		X				X					X											X					
britain															X	X											
british															X	X											
brittle		X							X															X			
broad							X																				
broadcast																					X	X				X	X
broaden							X															X					
broadness							X																				
broke		X			X	X	X		X	X	X		X		X			X			X	X	X				X
broken-hearted		X							X									X									
broker															X		X		X								
brood		X																									
brother				X													X		X								
brotherhood	X		X	X			X					X															
brotherly	X			X														X									
bruise		X																									
brush																				X		X					
brusque		X				X															X						
brutality		X			X	X	X			X			X	X													
brute		X				X							X						X								
brutish		X				X							X											X			
bubble																						X					
buckle		X							X		X											X					
buddy				X													X		X								
budget															X												
bug		X			X	X															X	X					
build							X			X					X							X	X		X		
builder																	X		X								
bulk							X							X													
bullet		X			X	X	X													X					X		
bulletin																				X							X
bum		X							X																		
bungle		X							X													X					
bunk																				X							
buoyant	X			X			X																	X			
burden		X			X				X				X									X					
burdensome		X											X														
bureau															X	X									X		
bureaucracy																									X		
bureaucratic																									X		
burglar		X				X							X						X								
burglary		X				X							X														
burn		X			X					X	X		X										X				
burst							X			X												X					
bury		X			X					X													X				
bus																				X							
bush																				X							
business															X							X					
businessman															X		X		X								
businessmen															X		X		X								
busy							X			X		X															
busybody		X											X						X		X						
butcher																	X		X								
butchery		X			X	X	X			X			X														
butter																				X							
buy	X		X							X		X			X								X				
cabinet																X			X						X		
cadillac																				X							
cage																				X					X		
cake																				X							
calamity		X																									
calcium																				X							
calculate										X													X			X	X
calculation										X																X	X
california															X	X											
call	X		X	X														X			X		X				
caller																	X		X								
callous		X				X																					
calm	X		X								X											X					
calmness	X																										
camera																				X							
camp										X													X		X		
campaign								X		X						X						X			X		
campaigner										X							X		X						X		
campus																										X	X
can							X																				
can't									X																		
canada															X	X											
cancel		X																					X				
cancellation		X																									
cancer		X			X								X														
candid	X						X														X					X	X
candidate																X	X		X						X		
candle																				X							
candor	X						X														X						
candy																				X							
cannery															X				X								
cannibal		X				X							X						X								
cannon		X			X	X	X													X					X		
cannot									X																		
canoe																				X							
canvas										X										X		X				X	X
cap																				X							
capability	X		X				X	X																			
capable	X		X				X	X				X															
capacity							X	X																			
capital		X			X		X					X	X	X	X	X									X		
capitalism															X	X									X		
capitalize	X						X	X		X												X					
capitol																X									X		
capitulate		X							X		X											X					
capricious		X											X														
capsize		X																				X					
captain							X	X									X		X						X		
captivation	X													X													
