Entry	Positiv	Negativ	Pstv	Affil	Ngtv	Hostile	Strong	Power	Weak	Active	Passive	Virtue	Vice	Ovrst	ECON	POLIT	Role	SocRel	HU	Object	ComForm	IAV	DAV	IndAdj	PowTot	EnlOth	EnlTot
inner							X																				
innocence	X		X									X															
innocent	X		X									X															
innovate	X									X												X					
innovative	X											X															
innumerable							X							X													
inquire										X											X	X				X	X
inquiry										X											X					X	X
inquisitive	X																				X			X			
insane		X											X											X			
insecure		X			X				X		X		X														
insecurity		X			X				X		X		X														
insensible		X																						X			
inseparable	X			X														X									
insert										X										X		X					
insidious		X			X								X														
insight	X		X								X															X	X
insignificant		X			X				X				X														
insinuate		X								X											X	X					
insist							X	X		X											X	X					
insistence							X	X		X											X						
insistent	X						X														X			X			
insolence		X				X												X									
insolent		X				X												X						X			
inspect								X		X												X					X
inspection								X		X																X	X
inspiration	X																									X	X
inspirational	X																							X			
inspire	X		X	X			X			X		X						X				X					
instability		X			X				X		X		X														
instable		X			X				X		X		X														
install										X												X					
installation										X																	
instant														X													
instantly														X													
instinct											X																
instinctive	X																							X			
institute										X					X	X						X					X
institution							X								X	X									X		
institutional							X																		X		
instruct							X	X		X											X	X					X
instruction							X	X		X											X						X
instructor							X	X									X		X								X
instrument																				X							
instrumental							X			X																	
insubordination																									X		
insufficiency		X							X																		
insufficient		X			X				X				X														
insulation																				X							
insult		X								X											X	X					
insurance															X												
insure																						X					
insurrection																									X		
intact							X				X																
integrate																									X		
integration							X									X									X		
integrity	X		X				X					X															
intellect	X		X				X					X														X	X
intellectual	X		X				X					X					X		X							X	X
intelligence	X		X				X					X														X	X
intelligent	X		X				X					X														X	X
intelligible	X		X																		X					X	X
intend										X	X											X					
intense							X			X				X													
intensify							X			X												X					
intensity							X			X				X													
intensive							X			X				X													
intent										X																	
intention										X																	
interact																									X		
intercede	X									X								X				X					
intercourse	X									X								X					X				
interdependence																									X		
interest	X		X								X				X						X	X				X	X
interested	X		X								X											X				X	X
interfere		X			X	X	X			X								X				X			X		
interference		X			X	X	X			X			X												X		
interim									X																		
interior																				X							
intermediate																									X		
internal							X																				
international															X	X									X		
interpose	X									X								X				X					
interpret										X												X					X
interpretation										X																X	X
interrupt		X			X	X				X											X	X					
interruption		X			X	X															X						
intertwine				X																		X					
intervene										X								X				X			X		
intervention		X			X		X			X			X		X	X									X		
interview										X											X	X					X
interviewer																											X
intimacy	X																	X									
intimate	X		X	X							X																
intimidate		X					X	X		X												X					
intolerable		X							X																		
intoxicate		X								X												X					
intransigent																									X		
intricate	X													X										X			
intrigue	X										X											X			X		
introduce										X											X		X				
intrude		X								X								X				X					
intruder		X															X	X	X								
intrusion		X				X												X									
intuition											X															X	X
intuitive											X															X	X
inundate		X					X			X												X					
inundated		X																						X			
invade		X		X																		X			X		
invader																									X		
invalid		X											X											X		X	X
invaluable	X																							X			
invariable							X							X													
invariably							X							X													
invasion																									X		
invent										X												X					
inventor	X		X							X							X		X								
inventory							X								X												
invest										X												X					
investigate										X												X					X
investigation										X																	X
investment										X					X						X						
investor										X							X		X								
invincible	X						X	X				X												X	X		
invisible		X																						X			
invitation	X		X	X						X											X						
invite	X		X	X			X			X		X						X					X				
involuntary		X																						X			
involve		X			X		X	X					X					X				X					
involvement				X																							
invulnerable	X						X	X				X												X			
irk		X				X					X											X					
iron		X			X	X	X			X						X				X			X		X		
iron-curtain																									X		
ironic		X			X								X														
irony		X			X								X														
irrational		X			X						X		X													X	X
irrefutable							X							X													
irregular		X			X																						
irregularity		X			X																						
irresistible	X																										
irresponsible		X			X				X				X														
irritable		X			X	X					X																
irritation		X			X	X					X																
isolate		X			X		X			X												X			X		
isolationism																									X		
israel															X	X											
issuance																					X						
issue							X			X						X				X		X			X		
italian															X	X											
italy															X	X											
jacket																				X							
jagged						X																					
jail		X			X	X	X	X		X						X		X					X				
janitor																	X		X								
japan															X	X											
japanese															X	X											
jar		X			X		X			X										X		X					
jazz																					X						
jeep																				X							
jeer		X				X				X											X	X					
jeopardize		X			X	X												X				X					
jeopardy		X																									
jerk		X			X	X	X			X							X		X			X					
jest	X									X											X	X					
jet																				X							
jew																	X		X								
jittery		X																						X			
job															X												
jobless		X																						X			
join	X		X	X			X			X								X				X	X		X		
joiner				X													X		X						X		
joint																									X		
jointly	X		X	X			X																		X		
joke	X		X																		X	X					
joker																	X		X								
jolly	X																							X			
journal																				X						X	X
journalist																	X		X								X
journey										X												X					
joy	X		X																								
joyful	X																							X			
jubilant	X																							X			
jubilee	X																										
judge							X	X		X						X	X		X			X			X		X
judgment							X	X													X				X		
judicial							X									X									X		
jug																				X							
juice																				X							
jump										X													X				
jumpy		X																						X			
junior																											X
junk		X																									
junta								X								X			X						X		
jurisdiction							X	X								X									X		
juror							X	X									X		X						X		
jury							X	X								X			X						X		
just	X		X									X		X													
justice	X		X					X								X											
justifiably	X		X									X		X													
justification	X		X									X		X													
justify	X		X											X							X	X					
keel																				X							
keen	X		X				X					X															
keep						X	X	X		X								X				X					
keeper							X	X									X		X								
key																				X						X	X
keyboard																				X							
kick		X			X	X	X			X								X				X	X				
kid	X		X	X													X		X		X	X					
kidnap		X				X				X												X					
kill		X			X	X	X			X								X					X				
killer		X			X	X	X			X							X		X								
kin																	X		X								
kind	X		X	X								X									X						
kindness	X		X	X								X															
kindred																			X								
king							X	X								X	X		X						X		
kingdom																X									X		
kiss	X		X	X						X								X			X		X				
kitchen																				X							
kneel									X		X												X				
knelt									X		X												X				
knew											X															X	X
knife		X			X	X	X													X			X				
knock		X			X	X	X			X								X				X	X		X		
knocker																				X							
know	X		X							X	X															X	X
know-how																										X	X
knowledge	X		X				X																			X	X
known											X															X	X
korean																									X		
lab																				X						X	X
label																				X	X	X				X	X
labor							X			X					X	X			X			X			X		
laboratory															X					X						X	X
laborer															X		X		X								
lack		X			X				X		X		X									X					
ladder																				X							
lady																	X		X								
lag		X							X		X											X					
laid		X			X	X		X										X				X	X				
lame		X							X															X			
lament		X								X																	
lamentable		X																						X			
land										X						X							X		X		
landlord							X	X							X		X		X						X		
language																					X					X	X
languish		X							X		X																
lapse		X																									
large							X							X													
last							X							X								X					
late											X																
latent											X																
latin															X	X											
laudable	X			X																							
laugh	X	X	X		X	X				X	X										X	X	X				
laughter	X		X								X										X						
launch							X			X												X					
lavatory																				X							
lavish	X																							X			
law	X		X													X									X		
lawful	X											X												X	X		
lawless		X				X																		X			
lawyer																	X		X								
lay		X			X	X	X	X		X	X							X	X			X	X				
lazily		X							X																		
lazy		X			X				X		X		X														
lead	X		X			X	X	X		X		X		X				X			X	X			X		
leader							X	X		X						X	X		X						X		
leadership							X	X								X									X		
leaf																				X							
league				X			X											X	X			X			X		
leak		X									X										X	X					
leakage		X																									
lean									X									X				X	X		X		
leap										X													X				
learn	X		X							X		X										X				X	X
learner	X		X														X		X								X
least									X					X													
leather																				X							
leave								X		X										X	X		X				
lecture										X											X		X			X	X
ledger															X					X							
left										X						X			X				X		X		
legal	X		X												X	X									X		
legend																					X						
legion							X									X			X						X		
legislation							X	X								X									X		
legislative							X	X								X									X		
legislator							X	X								X	X		X						X		
legislature																									X		
legitimacy	X											X															
legitimate	X		X									X													X		
leisure	X		X								X	X															
lemon																				X							
lemonade																				X							
lend				X						X													X				
length							X							X													
lengthy														X													
leninism																									X		
lent				X						X													X				
less									X																		
lesson																					X					X	X
let		X			X		X	X										X				X					
letter										X										X	X		X			X	X
level							X			X													X				
liability		X							X																		
liable		X																						X			
liar		X			X	X											X		X								
liberal	X		X	X								X				X	X		X						X	X	X
liberalism	X		X													X									X		
liberate	X			X				X		X												X					
liberation							X	X		X						X									X		
liberty	X		X					X																	X		
library																										X	X
license																				X							
lick										X													X				
lie		X			X	X					X										X		X				
lieutenant							X	X								X	X		X						X		
lifeless		X							X															X			
lifelong	X																							X			
lift							X			X													X				
light	X		X						X	X											X	X	X			X	X
lighten																						X					
lightning							X																				
lignite																				X							
likable	X											X															
like	X		X	X							X																
likelihood														X													
likeliness														X													
likely														X													
limit		X			X	X	X	X	X	X	X		X					X				X					
limitation		X			X								X													X	X
limitless							X							X													
limousine																				X							
limp		X							X															X			
line																						X					
linguist																	X		X								X
link										X										X		X					
lion							X																				
lioness							X																				
liquid																				X							
liquidate		X			X	X	X			X								X				X					
liquidation		X			X	X	X			X			X		X												
liquor																				X							
list																				X	X		X			X	X
listen											X										X		X			X	X
listener											X						X		X								
lit										X																	
literally														X													
literary																					X						
literature																					X						
litigant						X											X		X						X		
litigation						X									X	X									X		
litter		X			X								X														
little									X																		
live	X		X				X								X							X					
livelihood															X												
lively	X		X				X			X																	
livery																				X							
livestock															X												
load		X			X		X			X	X		X	X						X		X					
loan										X					X					X			X				
lobby															X	X				X					X		
local																X											
locate										X												X				X	X
lock							X			X										X			X				
log																				X							
logic	X		X																							X	X
logical	X		X																							X	X
london															X	X									X		
lone		X		X	X				X		X																
loneliness		X		X	X				X		X																
lonely		X		X	X				X		X																
loner		X		X	X				X		X						X		X								
lonesome		X																									
long				X			X		X		X																
longevity	X						X																				
look							X	X	X	X	X							X			X	X	X				
loom		X									X											X					
lord								X								X	X		X								
lose		X			X				X		X												X		X		
loser		X			X				X								X		X								
loss		X			X				X				X														
lost		X			X				X		X		X										X		X		
lot							X					X															
loud							X														X						
love	X		X	X			X			X	X							X				X					
loveless		X		X	X						X		X														
loveliness	X											X															
lovely	X		X									X															
lover	X		X	X													X		X								
low		X			X				X																		
lower		X			X		X		X	X													X				
lowly		X							X															X			
loyal	X		X									X															
loyalty	X		X									X				X											
lucid	X													X							X			X			
luck	X		X				X					X															
luckily	X		X									X															
lucky	X		X								X	X															
lucrative	X																							X			
ludicrous		X											X											X			
luggage																				X							
lull		X																									
luminous	X													X										X			
lunatic		X											X				X		X								
lunch																				X							
luncheon																				X							
lure		X								X												X					
lurk		X								X												X					
lust	X																										
luster	X																										
lustrous	X																							X			
luxuriant	X																							X			
luxurious	X																							X			
luxury	X		X									X			X												
lying		X			X	X				X	X										X		X				
lyric	X		X																		X						
lyrical	X		X																		X						
ma																	X		X								
machine																				X							
machinery																				X							
mad		X			X	X			X		X		X	X													
madame																	X		X								
made																						X					
madman		X											X				X		X								
madness		X											X														
magazine																				X							X
magical	X																							X			
magnetic	X																										
magnificence	X											X		X													
magnificent	X		X				X					X		X													
magnify							X							X								X					
magnitude							X							X													
mahogany																				X							
maid																	X		X								
mail																				X	X		X			X	X
main	X		X				X							X													
maintain							X	X		X											X	X			X	X	X
maintenance																									X		
majestic	X											X		X										X			
majesty	X											X															
major	X		X				X							X								X				X	X
majority							X	X						X		X			X						X		
make	X	X	X	X	X	X	X	X		X								X		X		X					
maker																	X		X								
maladjusted		X			X				X				X														
maladjustment		X			X				X				X														
malady		X							X																		
male																	X		X								
malice		X				X																					
malicious		X				X																					
malignant		X				X																		X			
mama																	X		X								
man																	X		X			X			X		
manage							X	X		X								X				X			X		
manageable	X						X							X										X			
management							X	X		X					X				X								
manager							X	X							X		X		X								
managerial							X	X							X		X		X								
manchester															X	X											
maneuver							X			X												X					
mangle		X				X				X												X					
manifest																										X	X
manipulate		X			X		X	X		X								X				X			X		
manipulation		X																			X						
mankind																			X								
manly	X		X				X					X												X			
manner													X														
manpower							X								X	X											
mansion														X													
manslaughter		X			X	X							X														
mantle																				X							
manufacture							X			X												X					
manufacturer							X										X		X								
manure																				X							
many							X							X													
map																				X							
maple																				X							
mar		X			X	X	X			X			X														
marble																				X							
march							X			X															X		
marcher							X			X							X		X						X		
marginal		X			X																						
marine																									X		
marital	X		X																								
mark							X			X				X						X	X	X	X			X	X
marker																				X							
market										X					X												
marksman						X											X		X								
marriage	X		X	X																							
marry	X		X	X														X					X				
marshall								X								X	X		X								
marvel	X									X				X								X					
marvelous	X											X												X			
marxism																									X		
masculine							X										X		X								
mass							X							X	X	X			X				X		X		
massachusetts															X	X											
massacre		X				X				X												X					
massive							X																				
mast																				X							
master							X	X		X							X		X			X			X		
masterful	X						X	X																X			
mastery	X						X																				
mat																				X							
match							X			X												X					
matchless	X													X										X			
mate	X		X	X													X	X	X				X				
material							X													X							
math																										X	X
mathematical																										X	X
mathematics																										X	X
matriculate										X													X			X	X
matter	X	X	X		X		X						X	X								X					
mature	X		X				X					X										X					
maturity	X		X				X																				
maximization							X							X													
maximize	X									X												X					
maximum							X																				
may								X										X									
mayor							X	X								X	X		X						X		
mcgovern																X									X		
meager		X			X				X															X			
meal																				X							
mean		X			X					X			X	X							X	X				X	X
meaning																										X	X
meaningful	X		X									X														X	X
meaningless		X			X				X				X													X	X
meant										X											X	X				X	X
measurable	X																							X			
measure							X			X												X				X	X
measurement										X																X	X
meat																				X							
mechanic																	X		X								
mechanism																				X							
medal																				X							
meddle		X								X								X			X	X					
media																					X						X
mediate	X									X								X			X	X			X		
mediation																									X		
mediator																									X		
medicare															X	X											
medicine																				X							
mediocre		X							X															X			
meditation	X																										
mediterranean																									X		
meek		X							X															X			
meet	X		X	X						X								X			X	X	X		X		
melancholy		X																						X			
mellow	X																							X			
melodramatic		X			X																X						
melody	X		X																		X						
melt									X														X				
member				X													X		X								
membership				X															X								
memorable	X																							X			
memory																										X	X
men																	X		X								
menace		X			X		X			X			X												X		
mend	X		X							X												X					
menial		X							X															X			
mentality																										X	X
mention											X										X	X				X	X
mentor	X							X									X		X								
merchandise															X					X							
merchant															X		X		X								
merciful	X											X															
merciless		X				X	X	X																			
mercy	X		X									X															
mere									X																		
merger															X												
merit	X		X	X			X					X						X				X					
meritorious	X											X												X			
merrily	X																										
merriment	X																										
merry	X																							X			
mesh	X									X								X				X					
mess		X			X								X									X					
message																					X					X	X
messenger																										X	X
metal																				X							
methodical							X																				
meticulous	X																							X			
metropolis																X									X		
metropolitan															X	X											
mexican															X	X											
mexico															X	X											
middle-class															X	X			X								
might							X	X				X		X		X									X		
mighty	X		X				X	X				X		X											X		
mild	X																							X			
military							X									X									X		
militia							X									X			X						X		
milk																				X							
mill										X	X				X							X					
miller															X		X		X								
million														X													
millionth														X													
mind	X	X	X	X	X	X			X	X	X	X						X				X					
mindful	X																							X		X	X
mine		X			X	X	X								X					X					X		
miner															X		X		X								
mineral																				X							
mingle																						X					
minimal									X																		
minimize							X			X												X					
minimum									X																		
minister	X		X	X			X	X		X						X	X	X	X			X			X		
ministerial																									X		
ministry							X	X								X			X								
minor									X																		
minority									X							X			X						X		
mint	X											X												X			
minutemen																X	X		X						X		
miracle	X											X															
miraculous	X											X												X			
mirror																				X							
mirth	X																										
misbehave		X				X				X												X					
misbehavior		X			X					X			X														
mischief		X								X																	
mischievous		X								X														X			
miser		X															X		X								
miserable		X			X				X		X																
misery		X			X				X		X																
misfortune		X			X				X		X		X														
misguide																											X
mishandle		X								X												X					
mishap		X																									
misinform		X								X											X	X					X
misinformed		X																			X			X			
mislead		X			X	X				X								X				X					X
misled																									X		
misrepresent		X								X											X	X					
miss		X			X				X		X				X	X	X		X			X					
missile						X	X													X					X		
missionary										X							X		X								
mistake		X			X						X		X									X					X
mistaken		X								X												X					
mister																	X		X								
mistook																											X
mistrust		X								X												X					
misunderstand		X			X						X											X					X
misunderstanding		X																			X						
misunderstood		X			X						X											X					X
misuse		X											X														
mitigate																						X					
mix		X			X				X	X	X		X							X			X				
moan		X								X											X		X				
mob						X													X						X		
mobile							X			X																	
mobility	X																										
mobilize	X									X												X					
mock		X						X		X											X	X					
mockery		X						X													X						
moderate	X		X									X										X					
moderation	X																								X		
modern																			X								
modernity	X																										
modernization												X			X	X											
modest	X		X						X			X															
modesty	X																										
modification										X																	
modify							X			X												X					
mold							X			X										X		X					
molecular																				X							
molest		X				X				X												X					
momentary									X																		
momentous	X													X										X			
momentum							X																				
monarch																									X		
monarchy																									X		
monetary															X					X							
money															X					X							
monitor							X	X										X				X					X
monopoly							X	X							X				X						X		
monotonous		X											X											X			
monotony		X											X														
monster		X			X	X	X																				
monstrous		X			X	X	X						X	X													
monument							X									X				X							
monumental	X													X										X			
mood											X																
moody		X																						X			
moral	X		X									X															
morale	X																										
moralistic	X																							X			
morality	X		X																								
more							X																				
moreover														X													
mortar																				X							
mortgage															X						X	X					
mortify		X									X											X					
moscow															X	X									X		
most							X							X													
mother				X													X		X								
motion										X																	
motionless		X																						X			
motivate	X									X												X					
motivated	X		X							X																	
motivation	X		X							X																	
motive	X		X							X																	
motley		X			X																						
motor																				X							
motorist																	X		X								
mount										X												X					
mourn		X		X	X				X		X											X					
mourner		X															X		X								
mouth																					X		X				
movable											X																
move							X	X		X								X				X	X		X		
movement							X			X															X		
mover							X			X							X		X								
movie																				X							
mr.																	X		X								
mrs.																	X		X								
ms.																	X		X								
much							X																				
mud																				X							
muddle		X								X												X					
muddy		X																						X			
muffle							X	X		X												X					
multiple							X																				
multiplication							X																				
multiply							X			X													X				
multitude	X																										
mumble		X																			X		X				
mundane		X											X											X			
municipal															X	X									X		
municipality																X									X		
munition																				X					X		
murder		X			X	X	X			X			X					X					X				
murderous		X				X																					
murky		X																						X			
murmur									X												X		X				
muscle							X																		X		
muscular							X																		X		
museum																										X	X
music																					X						
musical																					X						
musician																	X		X								
must												X															
muster							X			X												X					
mutter		X			X	X			X												X		X				
mutton																				X							
mutual	X		X	X															X								
myriad	X																										
myself>		X			X				X		X																
mysterious																										X	X
mystery																										X	X
mystical																										X	X
myth																					X					X	X
nag		X			X	X				X											X	X					
nail										X										X			X				
naive		X			X				X		X		X													X	X
name									X		X							X			X		X			X	X
narrative																					X						
narrow									X																		
nasty		X				X																		X			
nation															X	X			X						X		
national																X			X						X		
nationalism																X									X		
nationalist																									X		
nationalistic																									X		
nationality																									X		
native																X	X		X								
natural	X		X											X													
naturalization																									X		
naughty		X				X																		X			
naval							X									X									X		
navigable	X													X										X			
navy							X									X			X						X		
nazi																									X		
near							X			X												X					
neat	X		X									X															
nebulous		X																						X			
necessarily	X																										
necessary							X							X													
necessitate							X							X								X					
necessity							X							X													
need		X			X				X		X																
needle		X			X	X				X										X	X	X					
needy		X							X															X			
negate		X			X	X												X				X					
negation		X			X								X														
negative		X			X								X														
neglect		X			X	X																X					
negligence		X											X														
negligent		X											X											X			
negligible									X																		
negotiate	X									X								X			X	X			X		
negotiation																									X		
negotiator																									X		
negro																X	X		X								
neighbor				X													X		X								
neighborhood																X											
nephew																	X		X								
nerve							X																				
nervous		X			X				X		X																
nervousness		X							X																		
nest																				X							
network							X								X												
neurotic		X																						X			
neutral											X					X									X		
neutralism																									X		
neutrality																									X		
neutralize		X					X	X		X												X					
new							X								X	X					X						X
newborn									X																		
newsmen																	X		X								X
newspaper																				X							X
newspaperman																	X		X								X
nice	X		X									X															
niche	X																										
nickel																				X							
nickname																					X						
nigger						X										X	X		X								
nightmare		X				X																					
nihilism																									X		
nihilistic																									X		
nimble	X						X																	X			
nix		X						X														X					
nixon																X									X		
no						X															X						
nobility	X							X									X		X								
noble	X		X				X					X															
nobleman	X							X									X		X								
nod																					X		X				
noise		X			X																					X	X
noiseless	X																				X			X			
nominal									X		X																
nominate	X			X						X											X		X		X		
nomination								X								X									X		
non-fiction																					X					X	X
non-intervention																									X		
non-proliferation																									X		
non-violence	X		X	X								X													X		
non-violent	X		X	X								X													X		
nonaligned																									X		
nonchalant		X					X																	X			
nonsense		X			X								X													X	X
nonverbal																					X						
norm							X																				
normal	X		X									X		X													
north															X	X											
nosey		X																X			X						
notable	X		X				X							X										X			
note											X	X								X		X				X	X
noteworthy												X															
nothing									X																		
notice											X									X		X				X	X
noticeable																										X	X
notion																										X	X
notoriety	X			X										X													
notorious		X											X	X										X			
noun																					X						
nourish	X			X						X												X					
nourishment	X																										
novel																				X							
novelist																	X		X								
novelty	X													X													
novice		X							X															X			
nuclear							X								X	X											
nuclei							X																				
nucleus							X																				
nuisance		X											X														
nullification		X																									
nullify		X																				X					
numb		X																						X			
number							X																X				
numerous							X							X													
nurse	X		X	X						X					X		X	X	X			X					
nurture	X			X						X												X					
nut																				X							
nutrient	X																										
nuts		X																									
oak																				X							
oasis	X																										
oat																				X							
oath																					X						
obedience	X			X						X																	
obedient	X			X						X																	
obey	X		X					X	X		X							X				X			X		
object		X			X	X				X										X	X	X			X		
objection		X																			X						
objective	X		X				X					X														X	X
obligation												X															
oblige	X		X						X									X				X					
oblique		X																						X			
obliterate		X				X		X														X					
obnoxious		X			X	X							X														
obscure		X			X																					X	X
obscurity																										X	X
observance																									X		
observation											X															X	X
observe											X											X					X
observer											X						X		X								X
obsolete		X							X															X			
obstacle		X			X		X													X							
obstinate		X				X																		X			
obstruct		X			X	X	X			X								X				X					
obstruction		X																		X							
obtain	X		X				X			X												X					
obtainable	X																							X			
obvious														X													
occasion							X		X	X												X					
occasional									X																		
occupation															X												
occupational															X												
occupy							X															X			X		
occur											X											X				X	X
occurrence											X																
odd		X			X								X														
oddity		X																									
offend		X				X				X												X					
offender		X				X													X								
offensive		X			X	X	X			X			X											X			
offer	X		X	X			X			X	X							X		X	X	X					
office																X									X		
officer							X	X								X	X		X						X		
official							X	X								X	X		X						X		
officiate							X	X										X				X			X		
offset	X										X											X					
often							X							X													
ohio															X	X											
oil															X					X							
old									X																		
ominous		X			X	X	X						X														
omission		X			X				X		X																
omit		X			X				X		X											X					
once							X							X													
onion																				X							
only									X																		
onset	X																										
onward	X																										
open	X		X							X		X										X	X				
opera																					X						
operate							X			X												X	X				
operation							X																				
operational							X																				
operative							X																				
operator										X							X		X								X
opinion																					X					X	X
opinionated		X																						X			
opponent		X			X	X										X	X		X						X		
opportune	X										X	X												X			
opportunity	X		X									X															
oppose		X			X	X	X			X								X				X			X		
opposite																									X		
opposition		X			X	X										X									X		
oppress		X				X		X		X												X			X		
oppression		X				X		X										X							X		
oppressive		X						X																X			
optimal	X		X									X															
optimism	X																										
optimistic	X		X								X																
optional	X																							X			
orator																	X		X						X		
orchestra																			X								
ordeal		X											X														
order	X	X	X		X		X	X	X	X	X										X	X			X		
ordinance							X	X													X						
ordinary														X													
ore																				X							
organization							X												X						X		
organize	X		X				X	X		X		X										X			X		
orient																						X					X
originality	X													X													
originate							X			X												X					
orleans															X	X											
ornament																				X		X					
orphan		X												X			X		X								
ostensibly																										X	X
ostracize		X		X		X				X				X								X					
our				X																							
ours				X																							
oust		X			X	X	X	X		X								X				X			X		
outbreak		X																									
outburst		X																			X						
outcast		X		X										X													
outcry		X																			X						
outfit							X	X		X					X			X		X		X					
outgoing	X																										
outlaw		X				X													X								
outline										X											X	X					
outlive	X						X				X												X				
outlook											X																
outpost																									X		
output							X			X					X					X		X					
outrage		X				X																					
outrageous		X											X											X			
outreach							X			X												X					
outright	X													X										X			
outrun	X						X			X												X					
outset	X																										
outsider		X			X												X		X								
outspoken																										X	X
outstanding	X		X				X					X															
outwit	X									X												X					
over							X							X													
overall														X													
overbearing		X						X										X						X			
overcame							X	X		X								X				X			X		
overcome	X						X	X		X								X				X			X		
overflow		X									X											X					
overhaul							X			X												X					
overjoyed	X																							X			
overlook		X			X						X											X					X
overly														X													
overlying							X																				
overnighter																	X		X								
overpower		X					X	X		X												X					
override																									X		
overrode																									X		
overrun		X					X	X		X												X					
overseer							X	X									X		X						X		
oversight		X											X														
oversimplification																											X
oversimplify																											X
overthrow		X					X	X		X												X			X		
overthrown																									X		
overture				X								X															
overtures																									X		
overturn		X								X												X					
overwhelm							X	X						X				X				X			X		
overwhelming		X						X																X			
overworked		X							X															X			
owe		X			X				X													X					
own							X			X		X										X	X				
owner							X								X		X		X								
ownership							X								X												
pace										X											X	X	X				
pacific																									X		
pacification																									X		
pacify																									X		
pack										X										X		X					
package																				X							
pact																									X		
page																				X	X	X					
pain		X			X																						
painful		X			X								X														
painstaking	X						X																	X			
paint										X	X									X			X				
painter																	X		X								
palace								X								X											
palatable	X											X												X			
palatial	X											X												X			
pale									X																		
paltry		X							X															X			
pamper	X			X						X								X				X					
pan						X														X	X	X					
pan-american																									X		
pandemonium		X			X		X																				
panic		X			X				X		X																
papa																	X		X								
paper																				X							
parachute																				X			X				
parachuter																	X		X								
parade										X						X							X				
paradise	X																										
paralysis		X							X																		
paralyzed		X							X															X			
paramount	X							X				X		X										X			
paranoid		X							X															X			
parasite		X				X																					
pardon	X		X				X	X		X											X		X				
parent				X													X		X								
paris															X	X									X		
park											X												X				
parliament							X	X								X			X						X		
parliamentary																									X		
parlor																				X							
part				X			X			X				X			X		X	X	X		X			X	X
partake				X						X								X				X					
partial									X																		
participant				X						X							X		X						X		
participate				X						X								X					X		X		
participation				X						X								X							X		
particle																				X							
particular	X	X	X		X								X	X													
partisan																X	X		X						X		
partisanship																									X		
partition		X																				X					
partner	X		X	X			X								X		X		X						X		
partnership	X		X	X			X								X				X						X		
partook				X						X								X				X					
party				X			X									X	X		X						X		
pass	X	X	X		X	X	X	X	X	X	X							X		X		X	X				
passage																									X		
passe		X							X															X			
passenger											X						X		X								
passion				X			X				X																
passionate	X		X	X			X				X																
passive									X		X														X		
paste																				X		X					
pastor																	X		X								
patch										X												X					
patent														X	X					X							
paternalism																									X		
pathetic		X							X															X			
patience	X		X				X					X															
patient	X		X				X		X		X	X					X		X								
patriot	X			X													X		X								
patriotic	X			X																				X			
patrol							X	X								X			X			X			X		
patron	X		X				X	X							X		X		X								
patronage	X		X				X	X							X										X		
patronize		X						X		X												X					
pause									X														X				
pay	X		X	X					X	X					X			X			X	X	X			X	X
payer															X		X		X								
payment															X												
payroll															X												
pea																				X							
peace	X		X	X						X	X	X				X		X				X			X		
peaceable	X											X												X	X		
peaceful	X		X	X							X	X													X		
peacetime																									X		
peak							X															X					
pearl																				X							
peasant									X						X	X	X		X								
peculiar		X			X								X														
peel										X													X				
peer																	X		X								
peerless	X													X													
pen																				X							
penal																									X		
penalty						X							X														
pencil																				X							
pend											X											X					
penetrate						X	X			X												X			X		
penetration						X	X			X															X		
peninsula																									X		
pennsylvania															X	X											
pension															X					X							
pentagon															X	X									X		
peony																				X							
people																			X				X				
perceive											X											X					X
perception											X															X	X
perfect	X		X				X			X		X		X								X					
perfection	X											X		X													
perfectionism	X													X													
perfectionist	X													X			X		X								
perform										X											X		X				
performance										X																	
performer										X							X		X								
perfume	X		X																								
peril		X																									
perilous		X			X								X											X			
perish		X																				X					
permanent							X																				
permissible																									X		
permission	X		X				X	X			X										X				X		
permit	X		X				X	X			X							X		X		X			X		
perpetual							X							X													
perpetuate							X			X				X								X					
perplex		X			X				X													X					X
perplexity		X																									
persecute		X				X				X												X					
persecution		X				X												X									
perseverance	X		X				X			X		X															
persevere	X		X				X			X												X					
persist							X			X												X					
persistence							X			X																	
persistent							X			X		X															
person																	X		X								
personal																	X		X								
